eigenvector_idx,nearest_molecule_idx,distance,explained_variance_ratio,cumulative_variance_ratio,smiles
177,450849,1.3855082535771324,5.512122496861033e-06,0.9996697126014286,Cn1c(Cl)c2ssc3c(Cl)n(C)c(Cl)c3ssc2c1Cl
178,5261,1.3352830151745436,5.439154982885556e-06,0.9996751517564114,O[Cl](=O)(=O)=O
179,450849,1.372575041893021,5.345690420561571e-06,0.999680497446832,Cn1c(Cl)c2ssc3c(Cl)n(C)c(Cl)c3ssc2c1Cl
180,1220,1.379509712149158,5.2279942271799616e-06,0.9996857254410592,FC(F)=C(F)F
181,91523,1.3820989460550457,5.1802053343236556e-06,0.9996909056463935,ClC1(Cl)CS(=O)(=O)CC1(Cl)Cl
182,8636,1.3608502765820933,5.129847295904874e-06,0.9996960354936895,F[P-](F)(F)(F)(F)F
183,5216,1.3810436159874118,5.083882744896113e-06,0.9997011193764344,FS(F)(F)(F)(F)F
184,1220,1.3419971027702189,5.046883084116192e-06,0.9997061662595185,FC(F)=C(F)F
185,2081,1.3777580217651288,4.934557561535544e-06,0.99971110081708,[N-]=[N+]=[N-]
186,5216,1.3442949777811792,4.8671567897172095e-06,0.9997159679738697,FS(F)(F)(F)(F)F
187,562,1.369650610588441,4.798544431317068e-06,0.9997207665183011,BrC(Br)Br
188,5216,1.356531112986552,4.713972938539388e-06,0.9997254804912397,FS(F)(F)(F)(F)F
189,1116682,1.3840846123787358,4.657903736395213e-06,0.999730138394976,ClC1=C(Cl)C(Cl)(C(Cl)=C1Cl)C1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
190,1091331,1.3875078698366201,4.628892129241658e-06,0.9997347672871053,C1CSC2=C(S1)SC1=C(SC(S1)=C1SC3=C(S1)SC1=C(SCCS1)S3)S2
191,5261,1.3763118500555764,4.565700818161342e-06,0.9997393329879235,O[Cl](=O)(=O)=O
192,1793,1.3389064831613697,4.518600896803229e-06,0.9997438515888203,IC(I)=C(I)I
193,426821,1.3715423330403385,4.464736272614356e-06,0.9997483163250929,ClC(Cl)=C1C(=C(Cl)Cl)C(Cl)(Cl)C1(Cl)Cl
194,1220,1.3740464141175786,4.41104085410152e-06,0.999752727365947,FC(F)=C(F)F
195,145545,1.36315463712738,4.340021512945033e-06,0.99975706738746,BrC1C(Br)C(=C(Br)Br)C1=C(Br)Br
196,1300,1.3899964029528975,4.254780629670224e-06,0.9997613221680897,[O-][O+]=O
197,5216,1.368992841937954,4.220198445996262e-06,0.9997655423665357,FS(F)(F)(F)(F)F
