eigenvector_idx,nearest_molecule_idx,distance,explained_variance_ratio,cumulative_variance_ratio,smiles
111,275,1.264766366476361,0.0013566741134971446,0.8641052642556336,CCn1ccnc1
112,51333,1.317843219470866,0.0013393008999155835,0.8654445651555492,COCCN(CCOC)C(=O)c1ccoc1C
113,1576818,1.3159368630395483,0.0013289707255023063,0.8667735358810515,NC1=Nc2c(ccn2C2OC(COP(S)(=O)OC3C(COP(S)(=O)OC4C(COP(S)(=O)OC5C(COP(S)(=O)OC6C(CO)OC(C6O)n6cnc7c(N)ncnc67)OC(C5O)n5cnc6c(N)ncnc56)OC(C4O)N4C=CC(=O)NC4=O)OC(C3O)N3C=CC(=O)NC3=O)C(OP(S)(=O)OCC3OC(C(O)C3OP(S)(=O)OCC3OC(C(O)C3OP(S)(=O)OCC3OC(C(O)C3OP(S)(=O)OCC3OC(C(O)C3OP(S)(=O)OCC3OC(C(O)C3OP(S)(=O)OCC3OC(C(O)C3OP(S)(=O)OCC(O)COP(S)(=O)OC3C(COP(S)(=O)OC4C(COP(S)(=O)OC5C(COP(S)(=O)OC6C(COP(S)(=O)OC7C(COP(S)(=O)OC8C(COP(S)(=O)OC9C(COP(S)(=O)OC%10C(COP(S)(=O)OC%11C(COP(S)(=O)OC%12C(COP(S)(=O)OC%13C(CO)OC(C%13O)n%13cnc%14c(N)ncnc%13%14)OC(C%12O)n%12cnc%13c(N)ncnc%12%13)OC(C%11O)N%11C=CC(=O)NC%11=O)OC(C%10O)N%10C=CC(=O)NC%10=O)OC(C9O)n9ccc%10c9NC(N)=NC%10=O)OC(C8O)n8cnc9c(N)ncnc89)OC(C7O)n7cnc8c(N)ncnc78)OC(C6O)n6ccc7c6NC(N)=NC7=O)OC(C5O)N5C=CC(N)=NC5=O)OC(C4O)N4C=CC(=O)NC4=O)OC(C3O)N3C=CC(=O)NC3=O)N3C=CC(=O)NC3=O)N3C=CC(=O)NC3=O)N3C=CC(N)=NC3=O)n3ccc4c3N=C(N)NC4=O)n3cnc4c(N)ncnc34)n3cnc4c(N)ncnc34)C2O)C(=O)N1
114,48134,1.3040833013629933,0.0012995629026781364,0.8680730987837297,OC(=O)CNC(=O)C1(CS)CCCC1
115,146676,1.2834249643527746,0.0012809841093680365,0.8693540828930978,CCc1cnc(NCCS(=O)(=O)CC(C)C)nc1
116,86,1.31814136843271,0.001272580377007902,0.8706266632701057,CCC=C
117,36668,1.3199210193083002,0.0012537745651955178,0.8718804378353012,CN(C)CCCN1CCC2(C1)CCSCC2
118,616577,1.3135196675505956,0.0012350172866758902,0.8731154551219771,O=C(CSCC1CC1)N1CCCC2(CCC(=O)N(CC3CC3)C2)C1
119,73904,1.305049805304412,0.0012210353650578447,0.8743364904870349,O=C(Oc1ccccc1)N1CCN2CCC1CC2
120,46462,1.3045178797670363,0.0012129066683954001,0.8755493971554302,O=C1CCCC(Nc2nnn[nH]2)=C1
